Автор,Тема,Что узнают нового люди? О чем будут говорить?,Уровень слушателей,Раздел,,синк
Тыртов Александр Сергеевич,"Хакни реальность: как забирать открытые данные без API (сайты, каталоги, списки)",Какие есть подходы к парсингу данных и как лучше построить свой вайбкод. Расскажу и покажу лайф-хаки как получить данные. ,Базовый,Работа с данными,@alexserty,
Чехломин Сергей Валентинович,Бюджетирование на основе драйверов,Расскажу как быстро оценить эффективность проекта / нового продукта / определить оптимальную цену и как тут может помочь ИИ.,Базовый,Финансы,@chekhlominSV,
Станислав Климов,Создание специализированных рабочих инструментов с помощью AI,Как с клодом создать кастомное проприетарное ПО для работы,Базовый,Разработка,@sepukkudance,
Павел Смирнов,Из таблицы в решение: процессные и бизнес-метрики в DataLens с помощью ИИ,,Базовый,Работа с данными,@smirninini,
Мирон Шибанов,Хватит вылизывать промпт — стройте петлю,"Раньше центр внимания был на промпте: подобрать идеальную формулировку, получить ответ — и всё, разговор окончен. Петля — это другое. Модель делает шаг, получает обратную связь (результат теста, ошибка компилятора, скриншот, ответ API, проверка), смотрит на неё и делает следующий шаг. И так по кругу, пока задача не решена",Базовый,Разработка,@pm_mir_on,
Никита Помящий,Создание агента на корпоративной АГИ платформе,Кто такой Клод Клодыч? Как сделать своего? Как создать своего агента который будет помогать тебе или твоей команде на корпоративной АГИ платформе. ,Средний,,@pomnikita,
Вячеслав Макушин,"""Анатомия"" агентов","Вам не нужно быть разработчиком, чтобы завести собственного AI-агента. На воркшопе разберём по шагам: постоянные инструкции — «должностная инструкция», после которой агенту не надо ничего объяснять заново; скиллы — готовые сценарии под ваши типовые задачи; MCP — мостик к вашим файлам и сервисам. Всё на живых примерах, без кода. К концу встречи у каждого — работающий агент под свою задачу.",Средний,,@s_mak1,
Серёжа Попов, «Внешний мозг: строим окружение и память для работы с ИИ»,"У большинства контекст живёт в переписке с ИИ и умирает с каждым новым чатом. Разберём, как построить окружение, в котором агент сам знает всё нужное: файлы контекста, постоянная память, структура папок и знаний. Каждый уйдёт со своей системой, после которой не надо объяснять одно и то же заново.",Средний,,@sergeytovarov,
Серёжа Попов," «Прожевать 500 чатов: ИИ-анализ переписок, звонков и документов»","Чаты, звонки и документы копятся быстрее, чем их можно прочитать. Покажу, как отдавать ИИ большие массивы текста: транскрибация, дайджесты, кластеризация, поиск сигналов — недовольный клиент, зависшая сделка. Живой пример: от сырой выгрузки чата до готового отчёта.",Базовый,,@sergeytovarov,
